Category,Competency,Description,Technology Level,Source URL
E-commerce & Retail,E-commerce Platform,"Operates a massive online marketplace offering millions of new, refurbished, and used items across a wide range of categories, including electronics, apparel, groceries, and digital downloads.",Advanced,https://www.youtube.com/user/amazon
Logistics & Operations,Logistics and Supply Chain Management,"Manages a vast and complex global supply chain, including fulfillment centers, sorting facilities, and an extensive delivery network to move goods efficiently.",Advanced,https://en.wikipedia.org/wiki/Amazon_(company)
E-commerce & Retail,Third-party Seller Marketplace,"Provides a platform that enables third-party sellers to list and sell their products to a broad customer base, utilizing Amazon's infrastructure and customer reach.",Advanced,https://en.wikipedia.org/wiki/Amazon_(company)
Digital Media & Entertainment,Live Video Streaming,"Owns and operates Twitch, a leading global live streaming platform, especially for video game streaming and esports.",Advanced,https://en.wikipedia.org/wiki/Amazon_(company)
Consumer Electronics,Smart Home Technology,"Develops and sells smart home security products, including video doorbells and cameras, through its subsidiary, Ring.",Intermediate,https://en.wikipedia.org/wiki/Amazon_(company)
Cloud Infrastructure & Services,Cloud Computing,"Provides on-demand cloud computing platforms and APIs through Amazon Web Services (AWS), a market leader in cloud infrastructure services.",Cutting-edge,https://www.aboutamazon.com/
Artificial Intelligence & Machine Learning,Artificial Intelligence Services,"Invests heavily in artificial intelligence and offers a suite of AI and machine learning services through AWS, while also integrating AI into its retail and logistics operations.",Cutting-edge,https://www.aboutamazon.com/
Logistics & Operations,Last-mile Delivery Network,Operates an extensive and innovative delivery network to manage the final step of the delivery process from a distribution center to the end customer.,Advanced,https://www.aboutamazon.com/
Digital Media & Entertainment,Video-on-Demand Streaming,"Offers a global subscription video on-demand streaming service, Prime Video, featuring original content and a large library of licensed movies and TV shows.",Advanced,https://www.amazon.com/
Telecommunications & Space Technology,Satellite Broadband,"Developing Project Kuiper, a low Earth orbit (LEO) satellite constellation designed to provide global broadband internet access.",Cutting-edge,https://x.com/amazon
E-commerce & Retail,Subscription Services,"Operates the Amazon Prime membership program, which bundles various services like expedited shipping, video and music streaming, and other benefits for a recurring fee.",Advanced,https://www.aboutamazon.com/
